0,0,118583,-195136,-3587
0,1,118618,-195149,-3588
0,1,118673,-195270,-3592
0,1,118763,-195329,-3597
0,2,118763,-195329,-3597
1,0,118788,-195318,-3597
1,1,119211,-195546,-3595
1,1,119495,-195726,-3595
1,2,119495,-195726,-3595
2,0,119577,-194882,-3578
2,2,119577,-194882,-3578
3,0,118980,-194493,-3558
3,1,118538,-194193,-3547
3,1,118476,-194080,-3534
3,2,118476,-194080,-3534
4,0,118390,-193986,-3536
4,1,118380,-193910,-3531
4,1,118355,-193857,-3530
4,2,118355,-193857,-3530
5,0,118018,-194696,-3570
5,2,118018,-194696,-3570
6,0,118702,-195239,-3592
6,1,118743,-195298,-3595
6,1,118762,-195281,-3595
6,2,118762,-195281,-3595
