0,0,-28592,42179,-3407
0,1,-28674,42155,-3328
0,1,-28767,42226,-3373
0,1,-28870,42441,-3368
0,1,-28930,42796,-3383
0,1,-28857,42980,-3432
0,2,-28857,42980,-3432
1,0,-28807,43751,-3587
1,1,-28807,43751,-3528
1,2,-28807,43751,-3528
2,0,-28807,43751,-3528
2,1,-28678,44280,-3640
2,1,-28632,44374,-3649
2,2,-28632,44374,-3649
3,0,-28119,44306,-3674
3,1,-28053,44295,-3672
3,2,-28053,44295,-3672
4,0,-27582,43794,-3677
4,1,-27433,43671,-3680
4,2,-27433,43671,-3680
5,0,-26888,43411,-3685
5,1,-26889,43543,-3699
5,2,-26889,43543,-3699
6,0,-26108,43307,-3647
6,2,-26108,43307,-3647
7,0,-25966,43059,-3585
7,1,-25941,43037,-3581
7,1,-25728,42858,-3537
7,1,-25746,42771,-3526
7,2,-25746,42771,-3526
